slug,title,category,priority,status,note
char-count,文字数カウント,text,1,done,見本
subnet-calculator,サブネット計算機,network,1,done,batch1 2026-09-10
chmod-calculator,chmod パーミッション計算機,linux,1,done,batch1 2026-09-10
cron-parser,cron 式の解読・生成,linux,1,done,batch1 2026-09-10
byte-converter,バイト換算,dev,1,done,batch1 2026-09-10
json-formatter,JSON 整形・検証,dev,1,done,batch1 2026-09-10
base64,Base64 エンコード・デコード,dev,1,done,batch1 2026-09-10
url-encode,URL エンコード・デコード,dev,1,done,batch1 2026-09-10
unix-time,UNIX時間⇄日時,time,1,done,batch1 2026-09-10
password-generator,パスワード生成,security,1,done,batch1 2026-09-10
hash-generator,ハッシュ計算,security,1,done,batch1 2026-09-10
regex-tester,正規表現テスター,text,1,done,batch1 2026-09-10
date-diff,日数計算,time,1,done,batch1 2026-09-10
cidr-mask-converter,サブネットマスク⇄CIDR⇄ワイルドカード,network,2,done,batch2A 2026-09-10
ip-in-range,IPアドレスが範囲内か判定,network,2,done,batch2A 2026-09-10
ipv6-expander,IPv6 省略⇄展開,network,2,done,batch2A 2026-09-10
mac-address-format,MACアドレス表記変換・ベンダー判定なし,network,2,done,batch2A 2026-09-10
umask-calculator,umask 計算,linux,2,done,batch2B 2026-09-10
crontab-generator,cron 生成専用,linux,3,dropped,cron-parser にジェネレータ内蔵のため不要
ls-permission-decoder,ls -l の読み方,linux,3,done,batch2E 2026-09-10
systemd-timer,systemd timer OnCalendar 解読,linux,2,done,batch2B 2026-09-10
cert-decoder,証明書(PEM)デコード,security,2,done,batch3F 2026-09-10
jwt-decoder,JWT デコード,security,2,done,batch2C 2026-09-10
uuid-generator,UUID v4/v7 生成,dev,2,done,batch2C 2026-09-10
timestamp-format,日付フォーマット変換(strftime/ISO),time,2,done,batch2D 2026-09-10
timezone-converter,タイムゾーン変換,time,2,done,batch2D 2026-09-10
epoch-batch,エポック秒 一括変換,time,3,done,batch3F 2026-09-10
log-timestamp,ログのタイムスタンプ整形,linux,3,done,batch3F 2026-09-10
yaml-json,YAML⇄JSON,dev,2,done,batch3F 2026-09-10
csv-json,CSV⇄JSON,dev,2,done,batch2D 2026-09-10
sql-formatter,SQL 整形,dev,2,done,batch2E 2026-09-10
diff-text,テキスト差分,text,2,done,batch2E 2026-09-10
line-sort-uniq,行のソート・重複削除,text,2,done,batch2E 2026-09-10
case-converter,camel/snake/kebab 変換,text,2,done,batch2C 2026-09-10
html-escape,HTML エスケープ,text,2,done,batch2C 2026-09-10
color-converter,HEX⇄RGB⇄HSL,dev,3,done,batch3G 2026-09-10
qr-generator,QRコード生成,dev,3,done,batch3G 2026-09-10
bandwidth-calc,転送時間・帯域計算,network,2,done,batch2D 2026-09-10
raid-calculator,RAID 容量計算,linux,2,done,batch2B 2026-09-10
uptime-sla,SLA 稼働率→許容停止時間,linux,1,done,batch2B 2026-09-10
http-status-codes,HTTPステータスコード一覧・検索（意味と対処）,dev,2,done,batch3G 2026-09-10
well-known-ports,ポート番号一覧・検索（well-known / registered）,network,2,done,batch3G 2026-09-10
ascii-unicode-table,ASCII・Unicode コード表と文字→コードポイント変換,text,2,done,batch3H 2026-09-10
shell-escape,シェルのクォート・エスケープ（bash / PowerShell / cmd）,linux,2,done,batch3H 2026-09-10
dns-lookup-explainer,digコマンドの出力の読み方（レコード種別・TTL・フラグ）,network,3,done,batch4I 2026-09-10
nginx-config-checker,nginx location マッチ順の判定（正規表現・前方一致）,linux,3,done,batch4J 2026-09-10
unit-prefix,SI接頭辞・IEC接頭辞 換算（k/M/G/T と Ki/Mi/Gi）,dev,3,done,batch3H 2026-09-10
markdown-table,Markdown 表の整形・CSV から表生成,text,3,done,batch3H 2026-09-10
ssl-cipher-decoder,TLS暗号スイート名の解読と安全性判定,security,2,done,batch4I 2026-09-10
http-header-analyzer,HTTPレスポンスヘッダー解析（セキュリティヘッダーの有無）,security,2,done,batch4I 2026-09-10
url-parser,URL分解・組み立て（スキーム/ホスト/パス/クエリ）,dev,2,done,batch4I 2026-09-10
find-command-builder,findコマンド生成（条件を選んで組み立て）,linux,2,done,batch4J 2026-09-10
rsync-command-builder,rsyncコマンド生成（オプション解説つき）,linux,2,done,batch4J 2026-09-10
tar-command-builder,tar/zip コマンド生成（圧縮・展開・除外）,linux,2,done,batch4J 2026-09-10
number-base-converter,進数変換（2/8/10/16進・ビット演算）,dev,2,done,batch4K 2026-09-10
json-to-typescript,JSONからTypeScript型定義を生成,dev,2,done,batch4K 2026-09-10
sql-in-list,行リストをSQLのIN句・配列リテラルに変換,dev,2,done,batch4K 2026-09-10
dummy-data-generator,テストデータ生成（氏名・住所・メール・日付をCSV/JSONで）,dev,2,done,batch4K 2026-09-10
ssh-config-generator,ssh_config 生成（Host/ProxyJump/鍵指定）,linux,2,done,batch5 2026-09-14
iptables-rule-explainer,iptables / nftables ルールの読み方,linux,3,done,batch7 2026-09-22
systemd-unit-generator,systemd サービスユニットの生成,linux,2,done,batch5 2026-09-14
logrotate-generator,logrotate 設定の生成,linux,3,done,batch7 2026-09-22
docker-run-to-compose,docker run コマンド → docker-compose.yml 変換,dev,2,done,batch5 2026-09-14
crontab-from-schedule,日本語の予定 → cron 式（毎週月曜9時 など）,linux,2,done,batch5 2026-09-14
json-diff,JSON の差分（キー単位）,dev,2,done,batch6 2026-09-17
text-encoding-detector,文字化けの復元（Shift_JIS/EUC-JP/UTF-8 誤判定）,text,2,done,batch6 2026-09-17
ipv4-arithmetic,IP アドレスの加減算・範囲分割（サブネット分割）,network,2,done,batch6 2026-09-17
vlsm-calculator,VLSM 計算（必要ホスト数からサブネット割り当て）,network,2,done,batch6 2026-09-17
mtu-mss-calculator,MTU / MSS 計算（VPN・PPPoE のオーバーヘッド）,network,2,done,batch7 2026-09-22
latency-bandwidth-delay,帯域遅延積と TCP ウィンドウサイズ計算,network,3,done,batch7 2026-09-22
zenkaku-hankaku,全角⇄半角変換（英数・記号・カナ）,text,2,done,batch8 本部企画 2026-09-24
wareki-converter,和暦⇄西暦変換（明治〜令和・改元日の境界）,time,2,done,batch8 本部企画 2026-09-24
cidr-aggregator,CIDR 集約（経路集約・重複除去）,network,2,done,batch8 本部企画 2026-09-24
